year;phytol.sterol.ratio.wo.stigmasterol;phytol.sterol.ratio.w.stigmasterol
2017;0.387102014;0.366841133
2014;0.314850624;0.296314832
2011;0.397354497;0.371567576
2008;0.287493376;0.265443425
2005;0.455894477;0.436912381
2002;0.352718078;0.337608906
1999;0.269546591;0.254809315
1996;0.423947265;0.408784745
1990;0.220403502;0.208799135
1984;0.415716432;0.390387648
1981;0.286789177;0.261098669
1978;0.22253194;0.203397028
1975;0.252201761;0.233997771
1972;0.090382903;0.083145607
1969;0.352192938;0.340348117
1966;0.344707521;0.330125762
1963;0.316879275;0.307499103
1960;0.500096843;0.485520873
1957;0.301500682;0.292328042
1954;0.289298976;0.278608583
1951;0.604662617;0.583122229
1945;0.678404599;0.645470085
1942;0.608559089;0.534298518
1939;0.294590643;0.273359335
1936;0.299439348;0.278271166
1930;0.417995317;0.39154047
1920;0.419047619;0.392370572
1910;0.297949337;0.269591792
1900;0.273313279;0.245496655
1890;0.293642043;0.265184202
1880;0.358974359;0.323293173
1870;0.342307037;0.308791884
1860;0.169916435;0.1511772
1850;0.394230769;0.361764706
1840;0.094029149;0.083472454
