sample;Brassicasterol-TMS;Campasterol-plus-x-co-elutingTMS;Campastanol-plus-x-TMS;Stigmasterol_TMS;4a-desmethyl-dinosterol-TMS;Sitosterol-plus-chondrillasterol-TMS;Sitostanol-TMS;4a-24-dimethyl-5a-cholestan-3b-ol-plus-b-Amyrin-TMS;Dehydrodinosterol-TMS;Dinosterol-TMS;a-Amyrin-plus-22-dihydrochondrillasterol-plus-Lupeol-TMS;Triterpenoid-mz-189-371-plus-alcohol-mz-174-227-395-410-TMS;Dinostanol-plus-isomer-TMS;maybe-another-Dinostanol-isomer-TMS;;;;;;;;;;;;;;;
ZUG24_N1;0.081505594;0.121067132;0.080152559;0.078348514;0.012598904;0.212632239;0.225839028;0.026344945;0.012844019;0.036090712;0.033257184;0.012265548;0.057925544;0.009128077;;;;;;;;;;;;;;;
ZUG24_N2;0.07729451;0.135537504;0.072546241;0.069595009;0.01522368;0.214358765;0.180054349;0.031820705;0.0101686;0.037357917;0.03304795;0.022397218;0.089691143;0.010906408;;;;;;;;;;;;;;;
ZUG24_N3;0.062377006;0.159663596;0.062050089;0.061716762;0.013659994;0.220066281;0.136657628;0.029294308;0.010378006;0.042114575;0.017204797;0.038563361;0.128971879;0.017281719;;;;;;;;;;;;;;;
ZUG24_N4;0.057118761;0.099516982;0.09006108;0.064197909;0.022770835;0.25429988;0.140036801;0.039535894;0.017148407;0.065922973;0.026105957;0.031805055;0.071890414;0.019589052;;;;;;;;;;;;;;;
ZUG24_N5;0.062501551;0.099498598;0.098406434;0.044207809;0.020763522;0.122421625;0.178270906;0.047062328;0.023109192;0.091927917;0.035929704;0.041775262;0.105579964;0.028545188;;;;;;;;;;;;;;;
ZUG24_N6;0.0644974;0.098576261;0.124274246;0.00595749;0.01514616;0.130408441;0.171555511;0.047685162;0.048947342;0.11483314;0.032867168;0.02678346;0.107537739;0.010930479;;;;;;;;;;;;;;;
ZUG24_N7;0.077458341;0.11682842;0.118171275;0.062107062;0.011170115;0.228376976;0.128578404;0.027101264;0.03714216;0.070072636;0.026002564;0.013245437;0.075627175;0.008118171;;;;;;;;;;;;;;;
ZUG24_N8;0.050104871;0.115707294;0.138720578;0.072477278;0.012118387;0.202749942;0.143672804;0.02878117;0.033209042;0.068690282;0.027557679;0.0071079;0.09071312;0.008389653;;;;;;;;;;;;;;;
ZUG24_N9;0.050184384;0.112393779;0.149671316;0.077601411;0.011624178;0.202180536;0.146143979;0.029741863;0.030222864;0.064694565;0.029421196;0.007455507;0.081529582;0.00713484;;;;;;;;;;;;;;;
ZUG24_N10;0.044462742;0.122601894;0.157266365;0.070069988;0.008151503;0.187155208;0.12745986;0.031864965;0.03318238;0.072787155;0.028324413;0.008480856;0.099629477;0.008563195;;;;;;;;;;;;;;;
ZUG24_N11;0.043875044;0.114338364;0.152421902;0.068883819;0.01026676;0.207177957;0.138996139;0.025886276;0.030800281;0.067216567;0.027729028;0.006581257;0.09977185;0.006054756;;;;;;;;;;;;;;;
ZUG24_N12;0.044051826;0.112288967;0.148252846;0.065410287;0.016568512;0.187593247;0.137102473;0.026855124;0.03494307;0.078288182;0.030859835;0.006438948;0.104986258;0.006360424;;;;;;;;;;;;;;;
ZUG24_N13;0.04711517;0.109601247;0.152929383;0.067721096;0.01447984;0.202829138;0.139897527;0.024170194;0.028179996;0.067386946;0.033080864;0.007796837;0.098351526;0.006460236;;;;;;;;;;;;;;;
ZUG24_N14;0.049049519;0.109520457;0.156457796;0.062348432;0.01564578;0.187905812;0.14691387;0.025659078;0.027301885;0.069389032;0.032856137;0.006884143;0.102871001;0.007197059;;;;;;;;;;;;;;;
ZUG24_N15;0.051098339;0.103613889;0.153924888;0.069758287;0.009133139;0.208566255;0.148807181;0.024486261;0.027793087;0.067868672;0.027084482;0.006692386;0.092354933;0.008818203;;;;;;;;;;;;;;;
