sample;Phytol-TMS;cholesterol-TMS;cholestanol-TMS;Brassicasterol-TMS;Campasterol-plus-x-co-elutingTMS;Campastanol-plus-x-TMS;Stigmasterol_TMS;4a-desmethyl-dinosterol-TMS;Sitosterol-plus-chondrillasterol-TMS;Sitostanol-TMS;4a-24-dimethyl-5a-cholestan-3b-ol-plus-b-Amyrin-TMS;Dehydrodinosterol-TMS;Dinosterol-TMS;a-Amyrin-plus-22-dihydrochondrillasterol-plus-Lupeol-TMS;Triterpenoid-mz-189-371-plus-alcohol-mz-174-227-395-410-TMS;Dinostanol-plus-isomer-TMS;maybe-another-Dinostanol-isomer-TMS;sterol-mz-75-255-388-500-TMS;maybe-Lanosterol-plus-co-eluter-TMS;Tetrahymanol-TMS;Diplopterol-TMS;;;;;;;;;;;;;;;;;;;;;;
ZUG24_N1;0.260044061;0.066124761;0.053779953;0.045108743;0.06700382;0.044359915;0.043361478;0.006972782;0.117679936;0.124989147;0.014580439;0.007108439;0.019974171;0.018405973;0.006788288;0.032058517;0.005051875;0.005681325;0.012100625;0.032736803;0.016088948;;;;;;;;;;;;;;;;;;;;;;
ZUG24_N2;0.360476952;0.060789242;0.032011467;0.036633499;0.06423759;0.034383071;0.032984344;0.007215217;0.101594688;0.085336214;0.015081327;0.004819377;0.017705672;0.015662976;0.010615094;0.042508846;0.005169059;0.009891495;0.012505453;0.033510598;0.01686782;;;;;;;;;;;;;;;;;;;;;;
ZUG24_N3;0.303178468;0.091432707;0.026269383;0.031719489;0.08119094;0.031553248;0.031383747;0.006946278;0.111906462;0.069492117;0.014896523;0.005277346;0.021415789;0.008748855;0.019609952;0.065583817;0.008787971;0.012187768;0.00586408;0.038359362;0.014195702;;;;;;;;;;;;;;;;;;;;;;
ZUG24_N4;0.339839876;0.052857997;0.025121998;0.029358256;0.051150358;0.046290154;0.032996841;0.011703895;0.130706634;0.071976986;0.020320905;0.008814045;0.0338835;0.013418102;0.01634736;0.036950682;0.010068503;0.020360312;0.009451125;0.024708224;0.013674248;;;;;;;;;;;;;;;;;;;;;;
ZUG24_N5;0.307278198;0.059088025;0.024631382;0.034361119;0.054700773;0.05410034;0.024303873;0.011415042;0.067303034;0.098006973;0.025873186;0.012704608;0.050538684;0.019752867;0.022966546;0.058044091;0.015693124;0.017098682;0.015488431;0.017248791;0.009402228;;;;;;;;;;;;;;;;;;;;;;
ZUG24_N6;0.238192596;0.060408608;0.02894671;0.037580714;0.057437451;0.072410902;0.003471252;0.008825217;0.075985115;0.099960287;0.027784724;0.028520158;0.06690985;0.01915072;0.015605925;0.062659038;0.006368865;0.010193125;0.042890553;0.025975554;0.010722638;;;;;;;;;;;;;;;;;;;;;;
ZUG24_N7;0.14373868;0.060212291;0.038225012;0.053451834;0.080620024;0.081546691;0.042858346;0.007708184;0.157596563;0.08872836;0.018701824;0.025630765;0.048355166;0.017943642;0.009140306;0.052188198;0.005602123;0.006170759;0.043300619;0.012467883;0.005812729;;;;;;;;;;;;;;;;;;;;;;
ZUG24_N8;0.106458928;0.060305728;0.045691248;0.036116244;0.083403326;0.099991601;0.052242567;0.008735092;0.146144801;0.10356123;0.020745842;0.02393751;0.049512851;0.019863934;0.005123467;0.0653872;0.006047371;0.006341341;0.035276331;0.017974131;0.007139258;;;;;;;;;;;;;;;;;;;;;;
ZUG24_N9;0.124724623;0.064904254;0.040275659;0.035361238;0.079195617;0.105462351;0.054679998;0.008190702;0.14246173;0.102976897;0.0209569;0.021295826;0.045585494;0.02073095;0.005253347;0.05744789;0.005027396;0.006835;0.036434503;0.015929503;0.006270124;;;;;;;;;;;;;;;;;;;;;;
ZUG24_N10;0.1497835;0.055321331;0.03213309;0.030765725;0.084833637;0.108819508;0.048484503;0.005640383;0.129500912;0.088195077;0.022048769;0.022960346;0.050364631;0.019598906;0.005868277;0.068938013;0.005925251;0.005127621;0.03691887;0.01965588;0.00911577;;;;;;;;;;;;;;;;;;;;;;
ZUG24_N11;0.148757783;0.055483632;0.033721719;0.03082424;0.08032797;0.10708341;0.048394057;0.007212872;0.145552062;0.097651193;0.018186302;0.021638617;0.047222736;0.01948092;0.004623636;0.070094322;0.004253745;0.005055175;0.024905986;0.019172677;0.010356945;;;;;;;;;;;;;;;;;;;;;;
ZUG24_N12;0.141069959;0.057887517;0.033799726;0.030781893;0.078463649;0.103593964;0.045706447;0.011577503;0.131083676;0.095802469;0.018765432;0.02441701;0.054705075;0.021563786;0.004499314;0.073360768;0.004444444;0.007681756;0.035006859;0.01733882;0.008449931;;;;;;;;;;;;;;;;;;;;;;
ZUG24_N13;0.131357254;0.060296412;0.033073323;0.03299532;0.07675507;0.107098284;0.047425897;0.010140406;0.142043682;0.097971919;0.016926677;0.019734789;0.047191888;0.023166927;0.005460218;0.068876755;0.004524181;0.006864275;0.03174727;0.019110764;0.01723869;;;;;;;;;;;;;;;;;;;;;;
ZUG24_N14;0.141192412;0.059349593;0.034308943;0.03398374;0.075880759;0.108401084;0.043197832;0.010840108;0.130189702;0.101788618;0.017777778;0.018915989;0.048075881;0.022764228;0.004769648;0.071273713;0.00498645;0.006937669;0.03495935;0.020108401;0.010298103;;;;;;;;;;;;;;;;;;;;;;
ZUG24_N15;0.162805425;0.068921843;0.038366141;0.034249828;0.069449575;0.103171671;0.046757085;0.006121695;0.139796295;0.099741411;0.016412476;0.018628951;0.045490527;0.018153992;0.004485725;0.061903003;0.005910602;0.005699509;0.024328461;0.017942899;0.011662885;;;;;;;;;;;;;;;;;;;;;;
