sample,C16-alkanol-ug.gTOC,C18-alkanol-ug.gTOC,Phytol-ug.gTOC,C20-alkanol-ug.gTOC,C22-alkanol-ug.gTOC,C24-alkanol-ug.gTOC,C26-alkanol-ug.gTOC,C28-alkanol-ug.gTOC,cholesterol-ug.gTOC,cholestanol-ug.gTOC,Brassicasterol-ug.gTOC,Campasterol-plus-x-co-elutingug.gTOC,Campastanol-plus-x-ug.gTOC,Stigmasterol_ug.gTOC,4a-desmethyl-dinosterol-ug.gTOC,C30-alkanol-ug.gTOC,unknown-compound-M486,Fungisterol-ug.gTOC,Sitosterol-plus-chondrillasterol-ug.gTOC,Sitostanol-ug.gTOC,4a-24-dimethyl-5a-cholestan-3b-ol-plus-b-Amyrin-ug.gTOC,Dehydrodinosterol-ug.gTOC,Dinosterol.ug.gTOC,maybe-single-22-dihydrochondrillasterol-ug.gTOC,a-Amyrin-plus-22-dihydrochondrillasterol-plus-Lupeol-ug.gTOC,4a-23-24-cholest-17-20-en-3b-ol-ug.gTOC,Triterpenoid-mz-189-371-plus-alcohol-mz-174-227-395-410-ug.gTOC,Dinostanol-plus-isomer.ug.gTOC,maybe-another-Dinostanol-isomer-ug.gTOC,sterol-mz-75-255-388-500-ug.gTOC,C32-alkanol-ug.gTOC,maybe-Lanosterol-plus-co-eluter-ug.gTOC,Tetrahymanol-ug.gTOC,Diplopterol-ug.gTOC
ZUG24_N1,173.6685479,127.0062276,1637.041271,240.3826852,173.5660684,189.1087886,415.7592243,186.2735232,416.2716217,338.5580209,283.9706213,421.8055133,279.2565655,272.9711578,43.89537452,107.6034473,72.72626642,29.47992857,740.8241146,786.8373982,91.78744851,44.74937013,125.7423141,39.6937161,115.8701248,6.831964906,42.73394049,201.8162433,31.80279664,35.76533628,46.38904171,76.1764087,206.0862214,101.2838797
ZUG24_N2,140.142059,94.20296355,2068.809145,189.5583785,176.5634959,185.9420656,413.1538116,173.0664021,348.8748437,183.7166423,210.2428933,368.6652153,197.3274902,189.3000704,41.40876946,72.06794954,71.75003193,55.2580556,583.0609075,489.7520872,86.55307091,27.65883258,101.614418,60.30499776,89.89120588,2.364512268,60.92096314,243.9620305,29.66568753,56.76816428,99.03133734,71.76990178,192.3202877,96.80591403
ZUG24_N3,103.990362,74.92606758,1665.600752,212.0099699,162.3696594,152.5382991,425.9002546,165.0916389,502.3126663,144.3186373,174.260412,446.0464845,173.3471162,172.4159127,38.16143643,35.70807332,94.85740439,102.790542,614.7913064,381.7755341,81.83846292,28.99266334,117.6539828,82.21452587,48.06442767,9.867175726,107.7330838,360.3041299,48.27932079,66.95711441,45.00220072,32.21606013,210.7385189,77.98829453
ZUG24_N4,89.21957284,94.01235981,1907.639817,196.0249871,162.0330672,217.7399988,400.2714472,193.5548584,296.7103811,141.0185397,164.7981366,287.1248071,259.842789,185.2227826,65.69804909,34.69240415,95.26585794,184.5222984,733.70195,404.0319416,114.0683299,49.47630857,190.1999076,176.3376929,75.32049062,24.6644191,91.76343669,207.4170731,56.51801866,114.2895355,54.82210943,53.05246501,138.6958814,76.75832672
ZUG24_N5,67.58284709,95.69144534,1375.946437,202.8707526,148.7005953,125.9387413,351.2658196,193.2771658,264.5874574,110.2956953,153.8640226,244.9419915,242.2533429,108.8291597,51.11487486,50.10663166,56.91991145,60.7695673,301.3730577,438.8607665,115.8563093,56.88935863,226.3047687,70.21038997,88.450426,26.12266467,102.8408062,259.9128753,70.27149562,76.5653774,53.71186491,69.35491089,77.23753953,42.10179172
ZUG24_N6,67.33144605,55.06253509,682.7585706,149.3349918,136.4336627,135.9277283,375.8249906,235.2595297,173.1560732,82.97325349,107.7218814,164.6395096,207.5596173,9.950044626,25.29672362,48.99132142,16.40070915,5.733924022,217.8047904,286.5275563,79.64251821,81.75057851,191.7913263,12.73268422,54.89389027,44.35358876,44.73303961,179.6067377,18.25580222,29.21771579,60.58565308,122.9420768,74.45668987,30.7355192
ZUG24_N7,47.36525018,33.37597861,250.595219,94.21645888,115.6960491,111.3266965,266.2367667,178.0419365,104.9746126,66.64180548,93.18837593,140.5536261,142.169185,74.71960009,13.43851284,38.36952437,1.505407176,1.505407176,274.7551683,154.6897667,32.6049164,44.68489106,84.30280187,4.920111259,31.28309547,3.047531601,15.93528572,90.98534104,9.766788021,10.75815372,7.967642859,75.4906623,21.73661093,10.1339605
ZUG24_N8,46.89148616,23.49469035,124.0813334,50.07305881,100.5376958,107.4882084,214.5358913,162.945467,70.28828197,53.25463147,42.09465355,97.20928133,116.5434536,60.89040583,10.18103249,29.07467931,0,0,170.3365051,120.7039717,24.17995215,27.89994479,57.70883318,0,23.15205945,5.971567131,5.971567131,76.21090183,7.048407106,7.391038007,3.964728997,41.11570812,20.94943223,8.321036167
ZUG24_N9,43.10555699,18.44148501,124.9042911,47.97048862,107.3113407,115.6269796,190.5242991,161.3347094,64.99774932,40.33367734,35.41217674,79.30969934,105.6142715,54.75876531,8.202501002,24.26808917,0,0,142.6669485,103.1252367,20.98708877,21.3265026,45.65116075,0,20.76081288,0,5.260914436,57.53064496,5.034638546,6.844845664,2.715310676,36.48698721,15.95245022,6.279155939
ZUG24_N10,50.97545301,22.78671503,129.1083487,48.32355083,105.87965,109.3664103,176.9408066,150.618222,47.68512994,27.69764499,26.5190218,73.12374715,93.79876229,41.79201398,4.861820663,19.69282915,0,0,111.6254381,76.02119582,19.00529896,19.79104775,43.41262087,0,16.89359907,0,5.058257862,59.42225255,5.107367161,4.419836967,1.620606888,31.82282616,16.94270837,7.85748794
ZUG24_N11,37.82284554,14.82738787,125.5385506,36.5742234,100.5661079,109.2544369,180.5299505,152.8521598,46.8233301,28.45817952,26.01296117,67.7897768,90.36902709,40.84034903,6.087032913,17.4807099,0,0,122.8332026,82.40906098,15.34764709,18.26109874,39.85185651,0,16.44019146,0,3.901944175,59.15347369,3.589788641,4.266125631,0.936466602,21.01847262,16.18006185,8.740354952
ZUG24_N12,44.75990568,18.00179813,125.7679973,40.35729201,101.8960476,114.6147093,190.3885824,160.4508094,51.60841584,30.1334447,27.44295856,69.95263948,92.35705128,40.74863544,10.32168317,16.92560368,0,0,116.8649341,85.41070526,16.72993196,21.76847872,48.77117592,0,19.22474637,0,4.011270236,65.40327202,3.962352306,6.848510159,1.956717188,31.20963915,15.45806579,7.533361175
ZUG24_N13,47.60785872,18.54557917,95.21571744,29.96694195,92.21902325,103.7534688,170.9811933,141.1838756,43.70650213,23.97355356,23.91701216,55.63673751,77.63134207,34.37717114,7.350381988,13.00452198,0,0,102.9618892,71.01599828,12.26948378,14.30497418,34.20754694,0,16.79279577,0,3.957897993,49.92605612,3.279401195,4.975643192,1.583159197,23.01234976,13.85264298,12.49564938
ZUG24_N14,56.60507928,22.44972494,108.9041592,32.65034485,86.28721096,98.41089855,169.6898204,140.6765818,45.77737209,26.46308359,26.21224868,58.52814697,83.61163853,33.31923795,8.361163853,14.50661928,0,0,100.4175779,78.51132858,13.71230872,14.59023092,37.08176169,0,17.55844409,0,3.678912095,54.97465233,3.846135372,5.351144866,1.797650228,26.96475343,15.50995895,7.94310566
ZUG24_N15,39.18268275,17.93105821,128.0493393,32.66607132,76.62206817,94.17956267,155.9005894,134.6489649,54.20824541,30.17564657,26.93809439,54.62331621,81.1463398,36.77527216,4.814821185,13.78035029,0,0,109.9522528,78.44837966,12.90870163,14.65199895,35.77910226,0,14.27843524,0,3.528101731,48.68780388,4.648792869,4.482764552,1.120691138,19.1347635,14.11240692,9.1730645
