sample;Brassicasterol-TMS;Campasterol-plus-x-co-elutingTMS;Campastanol-plus-x-TMS;Stigmasterol_TMS;4a-desmethyl-dinosterol-TMS;Sitosterol-plus-chondrillasterol-TMS;Sitostanol-TMS;4a-24-dimethyl-5a-cholestan-3b-ol-plus-b-Amyrin-TMS;Dehydrodinosterol-TMS;Dinosterol-TMS;a-Amyrin-plus-22-dihydrochondrillasterol-plus-Lupeol-TMS;alcohol-mz-174-227-395-410-TMS;Dinostanol-plus-isomer-TMS;maybe-another-Dinostanol-isomer-TMS;;;;;;;;;;;;;;;
ZUG24_S1;0.132977169;0.147710672;0.058349681;0.097374682;0.007178931;0.247986143;0.167598815;0.018135148;0.008890187;0.028027046;0.006678075;0.016173463;0.054426312;0.008493677;;;;;;;;;;;;;;;
ZUG24_S2;0.071023777;0.136873229;0.071372839;0.073241345;0.006159911;0.28193914;0.188554885;0.022606874;0.004702066;0.026241222;0.032811794;0.02129276;0.053529629;0.009650528;;;;;;;;;;;;;;;
ZUG24_S3;0.082129867;0.124037227;0.054985024;0.083734489;0.013799743;0.223764442;0.204589217;0.026797176;0.005910355;0.032894737;0.025459991;0.029765725;0.079000856;0.013131151;;;;;;;;;;;;;;;
ZUG24_S4;0.056282288;0.11382056;0.087515996;0.066069482;0.00810465;0.307384236;0.181383004;0.03142329;0.005047633;0.030356889;0.038390445;0.020901465;0.040973506;0.012346557;;;;;;;;;;;;;;;
ZUG24_S5;0.050663336;0.14182706;0.070648574;0.061886107;0.006548194;0.297015462;0.138098753;0.033460134;0.007948674;0.035371601;0.034898465;0.028312421;0.08506974;0.008251481;;;;;;;;;;;;;;;
ZUG24_S6;0.05500382;0.111329847;0.055944056;0.100340836;0.010460128;0.336163836;0.133454781;0.037345008;0.003026385;0.037168714;0.026620438;0.021742963;0.055356408;0.016042781;;;;;;;;;;;;;;;
ZUG24_S7;0.051803714;0.097718833;0.069734748;0.037135279;0.014323607;0.177241379;0.188965517;0.056206897;0.021671088;0.081856764;0.027798408;0.037241379;0.114350133;0.023952255;;;;;;;;;;;;;;;
ZUG24_S8;0.041332511;0.09609759;0.070147858;0.057451593;0.015084277;0.145390141;0.206165051;0.049272651;0.033611271;0.091281766;0.018686195;0.033531671;0.124992537;0.016954886;;;;;;;;;;;;;;;
ZUG24_S9;0.044014645;0.091324419;0.074403056;0.057433938;0.018513212;0.145049347;0.221171601;0.05095511;0.035100287;0.088506845;0.018067494;0.02997453;0.112575613;0.012909901;;;;;;;;;;;;;;;
ZUG24_S10;0.040112939;0.09064356;0.063723104;0.049289261;0.01229189;0.149474248;0.20141661;0.050798364;0.04468893;0.097215461;0.02460812;0.030547172;0.12953948;0.015650862;;;;;;;;;;;;;;;
ZUG24_S11;0.025995807;0.08427673;0.14884696;0.032180294;0.001467505;0.361425577;0.15293501;0.038207547;0.016090147;0.039255765;0.068291405;0.000628931;0.025157233;0.00524109;;;;;;;;;;;;;;;
ZUG24_S12;0.046431141;0.08796217;0.089144365;0.043655553;0.013997875;0.172926019;0.178734195;0.046448275;0.039098105;0.084484117;0.031919268;0.027396087;0.121234966;0.016567865;;;;;;;;;;;;;;;
ZUG24_S13;0.054016799;0.090932587;0.12758992;0.054533707;0.012276545;0.165324144;0.143829421;0.050010769;0.034675856;0.090286453;0.032177471;0.011242731;0.114667241;0.018436356;;;;;;;;;;;;;;;
ZUG24_S14;0.032801465;0.086476589;0.12231232;0.054669108;0.007690296;0.285796495;0.135286424;0.042636673;0.028982474;0.06518441;0.047711222;0.005963903;0.076118232;0.00837039;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
